Id,ActivityDate,TotalSteps,total_minutes_asleep
1503960366,2016-03-25,11004,351
1503960366,2016-03-26,17609,437
1503960366,2016-03-27,12736,483
1503960366,2016-03-28,13231,73
1503960366,2016-03-29,12041,349
1503960366,2016-03-31,12256,308
1503960366,2016-04-01,12262,283
1503960366,2016-04-02,11248,439
1503960366,2016-04-03,10016,379
1503960366,2016-04-04,14557,294
1503960366,2016-04-05,14844,280
1503960366,2016-04-09,12432,380
1503960366,2016-04-10,10057,455
1503960366,2016-04-11,10990,310
1844505072,2016-04-03,2841,169
1844505072,2016-04-04,0,771
1844505072,2016-04-09,4979,221
1844505072,2016-04-10,6556,277
1927972279,2016-04-01,4317,369
1927972279,2016-04-02,5662,280
1927972279,2016-04-03,3198,107
1927972279,2016-04-04,2352,465
1927972279,2016-04-05,2234,393
1927972279,2016-04-06,1259,414
1927972279,2016-04-09,2523,39
1927972279,2016-04-10,2105,479
1927972279,2016-04-11,1209,496
1927972279,2016-04-12,24,482
2026352035,2016-04-01,2605,514
2026352035,2016-04-02,1229,528
2026352035,2016-04-03,2308,534
2026352035,2016-04-04,6679,493
2026352035,2016-04-05,5645,531
2026352035,2016-04-06,3180,465
2026352035,2016-04-07,2767,540
2026352035,2016-04-08,3762,521
2026352035,2016-04-09,3098,490
2026352035,2016-04-10,5142,504
2026352035,2016-04-11,3279,541
2026352035,2016-04-12,1019,341
2347167796,2016-03-29,10272,422
2347167796,2016-03-30,10533,472
2347167796,2016-03-31,6760,517
2347167796,2016-04-01,8328,374
2347167796,2016-04-02,15459,417
2347167796,2016-04-03,7485,579
2347167796,2016-04-04,10254,472
2347167796,2016-04-05,10114,395
2347167796,2016-04-06,11107,372
2347167796,2016-04-07,10320,70
2347167796,2016-04-08,10209,380
2347167796,2016-04-09,16081,18
2347167796,2016-04-10,10078,601
2347167796,2016-04-11,10001,353
3977333714,2016-04-01,4499,297
3977333714,2016-04-02,7618,199
3977333714,2016-04-03,11508,222
3977333714,2016-04-04,11943,205
3977333714,2016-04-05,12303,378
3977333714,2016-04-06,15425,296
3977333714,2016-04-07,8422,221
3977333714,2016-04-08,10226,305
3977333714,2016-04-09,14583,273
3977333714,2016-04-10,3573,293
3977333714,2016-04-11,3108,282
4020332650,2016-03-12,5543,384
4020332650,2016-03-13,3226,505
4020332650,2016-03-14,3023,265
4020332650,2016-03-15,5906,331
4020332650,2016-03-16,12483,459
4020332650,2016-03-17,8940,374
4020332650,2016-03-30,5400,366
4020332650,2016-03-31,7428,259
4020332650,2016-04-01,5351,429
4020332650,2016-04-02,4299,499
4020332650,2016-04-03,6107,387
4020332650,2016-04-04,6429,463
4020332650,2016-04-06,7476,245
4020332650,2016-04-10,5129,74
4020332650,2016-04-11,2993,426
4319703577,2016-03-29,5643,514
4319703577,2016-03-30,9043,454
4319703577,2016-03-31,8144,38
4319703577,2016-04-01,9343,466
4319703577,2016-04-02,8405,529
4319703577,2016-04-03,8223,568
4319703577,2016-04-04,10067,473
4319703577,2016-04-05,8359,450
4319703577,2016-04-06,10946,470
4319703577,2016-04-07,9130,433
4445114986,2016-03-29,2303,442
4445114986,2016-03-31,4804,360
4445114986,2016-04-01,3271,311
4445114986,2016-04-02,5406,469
4445114986,2016-04-05,4239,465
4445114986,2016-04-06,6911,431
4445114986,2016-04-07,6667,262
4445114986,2016-04-08,5543,219
4445114986,2016-04-09,4195,391
4445114986,2016-04-10,6625,347
4445114986,2016-04-11,5986,395
4445114986,2016-04-12,278,308
4558609924,2016-04-02,3183,86
4558609924,2016-04-03,6176,274
4702921684,2016-03-29,6506,413
4702921684,2016-03-30,7583,421
4702921684,2016-03-31,6963,420
4702921684,2016-04-01,7165,454
4702921684,2016-04-02,10328,538
4702921684,2016-04-03,12116,558
4702921684,2016-04-04,7810,419
4702921684,2016-04-05,6670,404
4702921684,2016-04-06,7605,454
4702921684,2016-04-07,6585,448
4702921684,2016-04-08,8184,345
4702921684,2016-04-09,14002,425
4702921684,2016-04-10,11135,533
4702921684,2016-04-11,6499,329
5553957443,2016-04-01,12409,337
5553957443,2016-04-02,2937,791
5553957443,2016-04-03,1515,742
5553957443,2016-04-04,8921,413
5553957443,2016-04-05,11306,340
5553957443,2016-04-06,12252,385
5553957443,2016-04-07,15444,338
5553957443,2016-04-08,9938,379
5553957443,2016-04-09,4599,619
5553957443,2016-04-10,5594,629
5553957443,2016-04-11,11906,428
5553957443,2016-04-12,3436,346
5577150313,2016-04-01,10461,435
5577150313,2016-04-02,14873,355
5577150313,2016-04-03,9917,389
5577150313,2016-04-04,7401,435
5577150313,2016-04-05,8964,390
5577150313,2016-04-06,11080,393
5577150313,2016-04-07,4499,454
5577150313,2016-04-08,4363,451
5577150313,2016-04-09,10494,499
5577150313,2016-04-10,9776,412
5577150313,2016-04-11,2862,312
6117666160,2016-04-01,7444,558
6117666160,2016-04-02,19658,454
6117666160,2016-04-05,9910,61
6117666160,2016-04-06,12409,523
6117666160,2016-04-07,4853,499
6117666160,2016-04-09,10789,435
6775888955,2016-04-01,7225,10
6775888955,2016-04-02,1988,429
6775888955,2016-04-06,11761,441
6775888955,2016-04-07,13987,275
6962181067,2016-03-30,15491,418
6962181067,2016-03-31,14097,509
6962181067,2016-04-01,10467,527
6962181067,2016-04-02,12437,399
6962181067,2016-04-03,12307,537
6962181067,2016-04-04,18952,363
6962181067,2016-04-05,12010,358
6962181067,2016-04-06,12480,474
6962181067,2016-04-07,13417,423
6962181067,2016-04-08,14400,402
6962181067,2016-04-09,12495,434
6962181067,2016-04-10,10148,414
6962181067,2016-04-11,12362,393
6962181067,2016-04-12,5893,366
7007744171,2016-04-02,10976,56
7007744171,2016-04-03,16806,70
7007744171,2016-04-05,12084,66
7007744171,2016-04-07,14100,63
7086361926,2016-04-01,11463,410
7086361926,2016-04-02,87,552
7086361926,2016-04-05,7478,89
7086361926,2016-04-06,7352,454
7086361926,2016-04-07,14604,503
7086361926,2016-04-08,9634,389
7086361926,2016-04-09,7338,466
7086361926,2016-04-10,569,36
7086361926,2016-04-11,6242,497
7086361926,2016-04-12,430,410
8378563200,2016-04-01,14179,408
8378563200,2016-04-02,3358,582
8378563200,2016-04-03,9152,529
8378563200,2016-04-04,13935,417
8378563200,2016-04-05,12846,414
8378563200,2016-04-06,9124,403
8378563200,2016-04-07,9725,458
8378563200,2016-04-08,8350,302
8378563200,2016-04-09,2240,405
8378563200,2016-04-10,2631,568
8378563200,2016-04-11,8837,330
8378563200,2016-04-12,3246,247
8792009665,2016-04-01,4592,480
8792009665,2016-04-03,7238,479
8792009665,2016-04-04,3821,566
8792009665,2016-04-05,2332,384
8792009665,2016-04-06,2121,427
8792009665,2016-04-07,1291,446
8792009665,2016-04-08,1467,424
8792009665,2016-04-09,1022,601
