tipo_dia,hora,avg_steps
Fin de semana,0,53.0
Fin de semana,1,27.0
Fin de semana,2,11.0
Fin de semana,3,9.0
Fin de semana,4,5.0
Fin de semana,5,15.0
Fin de semana,6,72.0
Fin de semana,7,188.0
Fin de semana,8,277.0
Fin de semana,9,387.0
Fin de semana,10,462.0
Fin de semana,11,502.0
Fin de semana,12,512.0
Fin de semana,13,476.0
Fin de semana,14,572.0
Fin de semana,15,524.0
Fin de semana,16,568.0
Fin de semana,17,451.0
Fin de semana,18,397.0
Fin de semana,19,430.0
Fin de semana,20,377.0
Fin de semana,21,241.0
Fin de semana,22,179.0
Fin de semana,23,129.0
Semana,0,41.0
Semana,1,17.0
Semana,2,10.0
Semana,3,7.0
Semana,4,12.0
Semana,5,31.0
Semana,6,142.0
Semana,7,303.0
Semana,8,406.0
Semana,9,450.0
Semana,10,425.0
Semana,11,430.0
Semana,12,525.0
Semana,13,450.0
Semana,14,429.0
Semana,15,328.0
Semana,16,391.0
Semana,17,455.0
Semana,18,556.0
Semana,19,575.0
Semana,20,410.0
Semana,21,270.0
Semana,22,170.0
Semana,23,91.0
